ACC,ARI,NMI,task_name,method,known_cls_ratio,labeled_ratio,fraction,seed,pred_num
46.46,34.11,68.26,banking,DeepAligned,0.25,0.1,2.0,4,62
53.54,40.74,73.23,banking,pre_init,0.75,0.1,1.0,3,77
28.76,14.29,62.79,clinc,wopre_align,0.75,0.1,1.0,0,150
53.86,42.99,74.01,banking,DeepAligned,0.5,0.1,2.0,4,60
50.65,39.63,72.12,banking,pre_init,0.75,0.1,1.0,4,77
84.53,79.38,93.52,clinc,DeepAligned,0.75,0.1,3.0,3,181
59.32,50.68,78.53,banking,DeepAligned,0.75,0.1,2.0,4,60
50.84,40.44,72.02,banking,pre_init,0.75,0.1,1.0,5,77
73.2,62.55,88.11,clinc,DeepAligned,0.25,0.1,1.0,4,150
56.1,42.14,73.95,banking,pre_init,0.75,0.1,1.0,6,77
42.56,29.58,64.45,banking,testunlabeled,0.25,0.1,1.0,0,77
29.2,15.12,63.54,clinc,wopre_align,0.75,0.1,1.0,1,150
51.95,39.17,71.77,banking,pre_init,0.75,0.1,1.0,7,77
53.34,42.69,73.7,banking,pre_init,0.75,0.1,1.0,8,77
52.4,41.7,73.04,banking,pre_init,0.75,0.1,1.0,9,77
79.78,70.65,90.74,clinc,DeepAligned,0.5,0.1,1.0,4,150
72.58,71.49,91.94,clinc,DeepAligned,0.75,0.1,4.0,3,252
71.33,62.16,88.48,clinc,pre_init,0.75,0.1,1.0,0,150
27.6,13.34,61.99,clinc,wopre_align,0.75,0.1,1.0,2,150
72.13,63.43,88.59,clinc,pre_init,0.75,0.1,1.0,1,150
82.89,78.52,93.27,clinc,DeepAligned,0.75,0.1,3.0,4,196
79.07,70.07,90.53,clinc,k-means,0.75,0.1,1.0,0,150
80.8,72.6,91.34,clinc,k-means,0.75,0.1,1.0,1,150
67.73,55.05,78.76,banking,k-means,0.75,0.1,1.0,0,77
69.64,56.98,79.65,banking,k-means,0.75,0.1,1.0,1,77
65.81,52.95,77.68,banking,k-means,0.75,0.1,1.0,2,77
68.47,55.96,79.01,banking,k-means,0.75,0.1,1.0,3,77
65.58,53.06,78.36,banking,k-means,0.75,0.1,1.0,4,77
66.69,54.8,78.84,banking,k-means,0.75,0.1,1.0,5,77
71.96,64.15,89.04,clinc,pre_init,0.75,0.1,1.0,2,150
63.28,52.82,78.38,banking,k-means,0.75,0.1,1.0,6,77
28.22,14.07,62.1,clinc,wopre_align,0.75,0.1,1.0,3,150
66.72,52.66,77.76,banking,k-means,0.75,0.1,1.0,7,77
68.41,54.8,78.75,banking,k-means,0.75,0.1,1.0,8,77
68.28,56.08,79.51,banking,k-means,0.75,0.1,1.0,9,77
73.11,65.02,89.02,clinc,pre_init,0.75,0.1,1.0,3,150
70.8,62.16,88.18,clinc,pre_init,0.75,0.1,1.0,4,150
28.27,13.78,62.32,clinc,wopre_align,0.75,0.1,1.0,4,150
73.2,70.93,91.7,clinc,DeepAligned,0.75,0.1,4.0,4,243
68.49,60.35,87.27,clinc,pre_init,0.75,0.1,1.0,5,150
26.98,12.21,61.19,clinc,wopre_align,0.75,0.1,1.0,5,150
70.58,62.23,88.55,clinc,pre_init,0.75,0.1,1.0,6,150
72.76,64.58,89.09,clinc,pre_init,0.75,0.1,1.0,7,150
29.42,14.93,63.19,clinc,wopre_align,0.75,0.1,1.0,6,150
72.4,63.28,88.78,clinc,pre_init,0.75,0.1,1.0,8,150
72.98,65.09,89.25,clinc,pre_init,0.75,0.1,1.0,9,150
